Rating_Group,Rating,Name,Birth_Date,Age,Age_Group,Nationality,Club,Position,Contract_Expiry,Preferred_Position,Height,Weight,Preferred_Foot,Weak_foot
0-69,55,Abdulmajeed Al Mutairi,11/4/1995,21,Youngster,Saudi Arabia,Al Batin,Midfielder,2020.0,LM,168 cm,49 kg,Left,3
0-69,55,Marco Varnier,6/8/1998,18,Youngster,Italy,Cittadella,Defender,2020.0,CB,186 cm,82 kg,Right,3
0-69,55,Sebastián Gutiérrez,7/29/1997,19,Youngster,Colombia,Patriotas,Attacker,2020.0,ST/RM,170 cm,63 kg,Right,2
0-69,55,Nikita Kovalev,3/31/1996,20,Youngster,Russia,FC Rostov,Defender,2020.0,LB/LWB,182 cm,74 kg,Left,3
0-69,55,Jonatan Olsson,2/9/1993,24,Youngster,Sweden,Helsingborgs IF,Defender,2020.0,CB,188 cm,85 kg,Right,3
0-69,55,Steven Kinsella,8/22/1998,18,Youngster,Republic of Ireland,Dundalk,Attacker,2020.0,LW,177 cm,68 kg,Right,3
0-69,55,Sidad Najah Chooly,1/30/1997,20,Youngster,Norway,FK Bodø/Glimt,Midfielder,2020.0,CM,175 cm,70 kg,Right,3
0-69,55,Givan Werkhoven,9/27/1997,19,Youngster,Netherlands,Go Ahead Eagles,Attacker,2017.0,ST,185 cm,68 kg,Right,3
0-69,55,Lucien Alessandri,11/20/1997,19,Youngster,France,GFC Ajaccio,Midfielder,2017.0,CM,178 cm,72 kg,Right,3
0-69,55,Thibault Campanini,7/27/1998,18,Youngster,France,GFC Ajaccio,Midfielder,2017.0,CDM,177 cm,72 kg,Right,3
0-69,55,Pierre-Ange Defranchi,2/22/1997,20,Youngster,France,GFC Ajaccio,Midfielder,2017.0,CM,180 cm,72 kg,Right,2
0-69,55,Aqeel Nasser Zaila,11/5/1994,22,Youngster,Saudi Arabia,Al Qadisiyah,Attacker,2018.0,ST,180 cm,81 kg,Right,3
0-69,55,Alexandre Ramalingom,3/17/1993,24,Youngster,France,AC Ajaccio,Attacker,2020.0,ST,177 cm,70 kg,Right,3
0-69,55,Krystian Popiela,1/19/1998,19,Youngster,Poland,Wisła Płock,Attacker,2018.0,ST,187 cm,78 kg,Right,3
0-69,55,Francesco Lovric,10/5/1995,21,Youngster,Austria,SV Mattersburg,Midfielder,2018.0,CDM/CB,185 cm,78 kg,Right,5
0-69,55,Johannes Wolff,7/10/1998,18,Youngster,Germany,SV Darmstadt,Defender,2017.0,RB/RM,175 cm,67 kg,Right,3
0-69,55,Can Luka Aydogan,12/31/1998,18,Youngster,Germany,SV Darmstadt,Defender,2017.0,LB/RB,178 cm,74 kg,Left,2
0-69,55,Florimond Smars,1/12/1998,19,Youngster,Belgium,Sp. Charleroi,Defender,2017.0,CB,185 cm,77 kg,Right,3
0-69,55,Sören Reddemann,5/16/1996,20,Youngster,Germany,RB Leipzig,Defender,2018.0,CB,191 cm,83 kg,Left,3
0-69,55,Takahiro Ogihara,10/5/1991,25,Normal,Japan,Yokohama F. Marinos,Midfielder,2020.0,CDM,184 cm,72 kg,Left,3
0-69,55,Mario Mosböck,5/7/1996,20,Youngster,Austria,SKN St. Pölten,Midfielder,2017.0,CAM,182 cm,80 kg,Right,3
0-69,55,Alvin Segbia,8/20/1996,20,Youngster,DR Congo,KV Oostende,Midfielder,2017.0,RM/LM,176 cm,74 kg,Right,3
0-69,55,Fabián Hernández,8/27/1984,32,Old,Colombia,Fortaleza FC,Attacker,2020.0,ST,189 cm,83 kg,Right,3
0-69,55,Nasser Zaher Al Abdali,9/29/1993,23,Youngster,Saudi Arabia,Al-Ettifaq,Midfielder,2020.0,CM,167 cm,67 kg,Right,3
0-69,55,Erik Eikeng,8/3/1996,20,Youngster,Norway,Odds BK,Attacker,2017.0,RW/RM,189 cm,78 kg,Right,3
0-69,55,Radosław Kanach,4/3/1999,17,Youngster,Poland,Cracovia,Midfielder,2020.0,CDM/CM,181 cm,73 kg,Right,2
0-69,55,William Pérez,1/28/1997,20,Youngster,Colombia,Deportivo Pasto,Defender,2017.0,RB/RM,170 cm,63 kg,Right,3
0-69,55,Lachlan Scott,4/15/1997,19,Youngster,Australia,WS Wanderers,Attacker,2019.0,ST,184 cm,74 kg,Right,3
0-69,55,Charlie Rowan,12/14/1997,19,Youngster,England,Watford,Defender,2018.0,CB/CDM,185 cm,78 kg,Right,3
0-69,55,Joakim Mæhle,5/20/1997,19,Youngster,Denmark,Aalborg BK,Defender,2020.0,RB,186 cm,75 kg,Right,2
0-69,55,Kory Roberts,12/17/1997,19,Youngster,England,Walsall,Defender,2019.0,CB/RB,184 cm,73 kg,Right,2
0-69,55,Réda Rabei,7/12/1994,22,Youngster,France,Amiens SC,Attacker,2018.0,ST/CAM,180 cm,78 kg,Right,3
0-69,55,Sammy Skytte,2/20/1997,20,Youngster,Denmark,Silkeborg IF,Midfielder,2019.0,CM/CDM,190 cm,95 kg,Right,3
0-69,55,Gauthier Banaziak,5/25/1997,19,Youngster,France,Amiens SC,Goalkeeper,2020.0,GK,183 cm,68 kg,Right,3
0-69,55,Mohammed Rafique,9/20/1992,24,Youngster,India,Free Agents,Midfielder,2020.0,CM,173 cm,67 kg,Right,3
0-69,55,Dennis Schmitt,5/27/1993,23,Youngster,Germany,Würzburger Kickers,Midfielder,2017.0,CDM,176 cm,70 kg,Right,3
0-69,55,Franko Uzelac,11/5/1994,22,Youngster,Croatia,Würzburger Kickers,Defender,2018.0,CB,189 cm,82 kg,Right,3
0-69,55,Myziane Maolida,2/14/1999,18,Youngster,France,Olym. Lyonnais,Attacker,2021.0,ST,180 cm,70 kg,Right,4
0-69,55,Neider Barona,7/11/1997,19,Youngster,Colombia,La Equidad,Midfielder,2020.0,RM,175 cm,65 kg,Right,2
0-69,55,Louka Franco,10/22/1997,19,Youngster,Belgium,Sp. Charleroi,Midfielder,2017.0,CAM,180 cm,70 kg,Right,3
0-69,55,Pieter De Smet,2/12/1998,19,Youngster,Belgium,Zulte-Waregem,Midfielder,2017.0,CDM,196 cm,86 kg,Right,3
0-69,55,Kim Seong Hyun,6/4/1993,23,Youngster,Korea Republic,Suwon FC,Defender,2017.0,CB,186 cm,78 kg,Right,2
0-69,55,William Arne Hanssen,5/10/1998,18,Youngster,Norway,FK Bodø/Glimt,Attacker,2020.0,ST,178 cm,75 kg,Right,2
0-69,55,Marco Crocchianti,2/18/1996,21,Youngster,Italy,La Spezia,Defender,2019.0,CB,185 cm,79 kg,Right,3
0-69,55,Diego Lara,11/10/1997,19,Youngster,Chile,CD Cobresal,Goalkeeper,2020.0,GK,180 cm,79 kg,Right,2
0-69,55,Patrick Fritsch,12/21/1998,18,Youngster,Germany,Bor. Dortmund,Defender,2018.0,CB,184 cm,75 kg,Right,3
0-69,55,Eijiro Takeda,7/11/1988,28,Normal,Japan,Shonan Bellmare,Midfielder,2020.0,LM/CM,173 cm,71 kg,Left,2
0-69,55,Kim Jong Seok,12/11/1994,22,Youngster,Korea Republic,Pohang Steelers,Attacker,2018.0,CF,179 cm,74 kg,Right,3
0-69,55,Cihan Kahraman,10/8/1998,18,Youngster,Turkey,Union Berlin,Midfielder,2019.0,CM/RM,175 cm,70 kg,Right,2
0-69,55,Tomás Sierra,11/28/1996,20,Youngster,Colombia,Boyacá Chicó,Midfielder,2017.0,CAM,178 cm,78 kg,Right,2
0-69,55,Leonid Otchenashenko,6/9/1998,18,Youngster,Poland,Korona Kielce,Goalkeeper,2018.0,GK,192 cm,77 kg,Right,3
0-69,55,Katsuya Ishihara,10/2/1978,38,Old,Japan,Ventforet Kofu,Midfielder,2020.0,CAM,176 cm,64 kg,Right,3
0-69,55,Kenta Furube,11/30/1985,31,Old,Japan,Avispa Fukuoka,Midfielder,2020.0,LM/LB,180 cm,72 kg,Right,3
0-69,55,Conor McDermott,9/18/1997,19,Youngster,Republic of Ireland,Derry City,Defender,2017.0,RB/CM,173 cm,72 kg,Right,3
0-69,55,Takumi Abe,5/26/1991,25,Normal,Japan,Avispa Fukuoka,Defender,2020.0,LB/LWB,168 cm,68 kg,Left,3
0-69,55,Ali Suljic,9/18/1997,19,Youngster,Sweden,Chelsea,Defender,2017.0,CB,188 cm,80 kg,Right,2
0-69,55,Rikiya Uehara,8/25/1996,20,Youngster,Japan,Iwata,Midfielder,2020.0,LM,174 cm,64 kg,Right,3
0-69,55,Daigo Araki,2/17/1994,23,Youngster,Japan,Iwata,Midfielder,2020.0,CM,178 cm,72 kg,Right,3
0-69,55,Juliusz Letniowski,4/8/1998,18,Youngster,Poland,Lechia Gdańsk,Midfielder,2018.0,CAM,183 cm,62 kg,Right,3
0-69,55,Naoki Maeda,11/17/1994,22,Youngster,Japan,Yokohama F. Marinos,Midfielder,2020.0,CAM/CF,175 cm,66 kg,Left,3
0-69,55,Takafumi Shimizu,6/30/1992,24,Youngster,Japan,Iwata,Midfielder,2020.0,CM,170 cm,65 kg,Right,3
0-69,55,Takashi Kanai,2/5/1990,27,Normal,Japan,Yokohama F. Marinos,Defender,2020.0,LB/RB,175 cm,70 kg,Right,3
0-69,55,Keita Endo,11/22/1997,19,Youngster,Japan,Yokohama F. Marinos,Midfielder,2020.0,RM/LM,175 cm,66 kg,Right,3
0-69,55,Ataru Esaka,5/31/1992,24,Youngster,Japan,Omiya Ardija,Attacker,2020.0,LW/ST,175 cm,67 kg,Left,3
0-69,55,Takuma Ominami,12/13/1997,19,Youngster,Japan,Iwata,Defender,2020.0,CB,184 cm,72 kg,Right,3
0-69,55,Fernando Redondo,9/15/1994,22,Youngster,Argentina,Tigre,Midfielder,2020.0,RM,190 cm,80 kg,Right,3
0-69,55,Hiroki Noda,7/27/1997,19,Youngster,Japan,Gamba Osaka,Defender,2020.0,CB,181 cm,73 kg,Right,3
0-69,57,Soya Takahashi,2/29/1996,21,Youngster,Japan,Sanfrecce Hiroshima,Defender,2020.0,RB/CB,170 cm,65 kg,Right,2
0-69,55,Sho Naruoka,5/31/1984,32,Old,Japan,Albirex Niigata,Midfielder,2020.0,LM/RM,175 cm,70 kg,Right,4
0-69,55,Haruhiko Takimoto,5/20/1997,19,Youngster,Japan,Kashiwa Reysol,Goalkeeper,2020.0,GK,190 cm,79 kg,Right,3
0-69,55,Takuma Nishimura,10/22/1996,20,Youngster,Japan,Vegalta Sendai,Attacker,2020.0,ST,178 cm,72 kg,Right,3
0-69,56,Kosta Petratos,3/1/1998,19,Youngster,Australia,Perth Glory,Midfielder,2017.0,LM,181 cm,79 kg,Right,3
0-69,55,Lumala Abdu,7/21/1997,19,Youngster,Uganda,Kalmar FF,Attacker,2019.0,ST,170 cm,68 kg,Right,4
0-69,55,Tom Glover,12/24/1997,19,Youngster,Australia,Spurs,Goalkeeper,2018.0,GK,190 cm,90 kg,Right,2
0-69,55,Santiago Hernández,5/1/1997,19,Youngster,Mexico,Atlas,Goalkeeper,2020.0,GK,177 cm,67 kg,Right,2
0-69,55,Richie Laryea,1/7/1995,22,Youngster,Canada,Orlando City,Midfielder,2020.0,CAM/CM,175 cm,68 kg,Right,3
0-69,55,Dren Feka,6/9/1997,19,Youngster,Germany,Hamburger SV,Midfielder,2018.0,CDM/LB,182 cm,71 kg,Left,3
0-69,55,Ala Mohsen Al Hajji,12/3/1995,21,Youngster,Saudi Arabia,Al Khaleej,Midfielder,2020.0,CAM,178 cm,65 kg,Right,2
0-69,55,Carlos Mestre,6/27/1995,21,Youngster,Colombia,Fortaleza FC,Midfielder,2019.0,CM,172 cm,68 kg,Right,3
0-69,55,Anderson Arroyo,9/27/1999,17,Youngster,Colombia,Fortaleza FC,Defender,2018.0,LB/RB,176 cm,68 kg,Right,3
0-69,54,Jake Adelson,1/11/1996,21,Youngster,Australia,Central Coast,Defender,2017.0,RB,185 cm,78 kg,Right,3
0-69,55,Nicholas D'Agostino,2/25/1998,19,Youngster,Australia,Brisbane Roar,Attacker,2018.0,ST,175 cm,75 kg,Right,4
0-69,55,Sebastian Lundbäck,7/24/1996,20,Youngster,Sweden,Östersunds FK,Midfielder,2017.0,CM,174 cm,67 kg,Right,3
0-69,55,Alexandre Edgar,11/24/1996,20,Youngster,France,SC Bastia,Midfielder,2020.0,CM,180 cm,75 kg,Right,3
0-69,55,Lars Valderhaug,2/5/1997,20,Youngster,Norway,Aalesunds FK,Defender,2020.0,CB,186 cm,82 kg,Right,2
0-69,55,Aidan Keenan,8/9/1983,33,Old,Republic of Ireland,Wexford Youths,Midfielder,2020.0,ST/LM,189 cm,82 kg,Left,2
0-69,55,Leonardo Maloku,5/18/1998,18,Youngster,Albania,Pescara,Defender,2021.0,RB,185 cm,74 kg,Right,2
0-69,55,Gary Delaney,5/11/1994,22,Youngster,Republic of Ireland,Wexford Youths,Defender,2020.0,CB,189 cm,73 kg,Right,2
0-69,55,Graham Doyle,5/30/1978,38,Old,Republic of Ireland,Wexford Youths,Goalkeeper,2017.0,GK,178 cm,64 kg,Right,1
0-69,55,Foday Nabay,8/4/1998,18,Youngster,England,Fulham,Midfielder,2017.0,CM,177 cm,62 kg,Right,3
0-69,55,Bilali Doucouré,2/11/1997,20,Youngster,France,AJ Auxerre,Goalkeeper,2020.0,GK,192 cm,76 kg,Right,2
0-69,55,Joe Pritchard,9/10/1996,20,Youngster,England,Spurs,Midfielder,2017.0,CM/RM,174 cm,66 kg,Right,3
0-69,55,Marco Weymans,7/9/1997,19,Youngster,Belgium,Cardiff City,Midfielder,2018.0,CDM/LB,175 cm,70 kg,Left,3
0-69,55,Matija Šarkić,7/23/1997,19,Youngster,Montenegro,Aston Villa,Goalkeeper,2018.0,GK,181 cm,73 kg,Right,2
0-69,55,Gerry McDonagh,2/14/1998,19,Youngster,Republic of Ireland,Cambridge Utd,Attacker,2017.0,ST,180 cm,70 kg,Right,3
0-69,55,Josh Pask,11/1/1997,19,Youngster,England,Gillingham,Defender,2020.0,CB/CDM,187 cm,76 kg,Right,2
0-69,55,Edvard Linnebo Race,5/22/1997,19,Youngster,Norway,Stabæk Fotball,Defender,2017.0,RB,180 cm,75 kg,Right,2
0-69,55,Osman Kakay,8/25/1997,19,Youngster,England,Chesterfield,Defender,2018.0,RB,180 cm,72 kg,Right,3
0-69,55,Sean Boyd,6/20/1998,18,Youngster,Republic of Ireland,Shamrock Rovers,Attacker,2017.0,ST,191 cm,75 kg,Right,3
0-69,55,Aldin Turkes,4/22/1996,20,Youngster,Switzerland,FC Vaduz,Attacker,2019.0,ST,193 cm,75 kg,Right,2
0-69,55,Bradley Jackson,10/20/1996,20,Youngster,England,Burnley,Midfielder,2018.0,LM,175 cm,70 kg,Right,2
0-69,55,Alessandro Piacenti,8/24/1992,24,Youngster,Italy,Terni,Goalkeeper,2017.0,GK,187 cm,76 kg,Right,2
0-69,55,Adam Frizzell,2/21/1998,19,Youngster,Scotland,Kilmarnock,Midfielder,2020.0,CAM,175 cm,67 kg,Right,3
0-69,55,Diego Gutiérrez,2/18/1997,20,Youngster,Canada,CD Palestino,Midfielder,2020.0,LM,170 cm,67 kg,Left,3
0-69,55,Nicholas Hämäläinen,3/5/1997,20,Youngster,Finland,QPR,Defender,2019.0,LB/LM,178 cm,64 kg,Left,3
0-69,55,Erik Wekesser,7/3/1997,19,Youngster,Germany,Kaiserslautern,Attacker,2018.0,ST,184 cm,81 kg,Left,3
0-69,55,Juan Pablo Fassi,8/16/1994,22,Youngster,Mexico,Puebla,Midfielder,2023.0,CM,185 cm,73 kg,Right,3
0-69,55,Albin Ramadani,1/15/1998,19,Youngster,Austria,SV Ried,Midfielder,2023.0,LM,175 cm,76 kg,Left,3
0-69,55,Joe Fryer,11/14/1995,21,Youngster,England,Hartlepool,Goalkeeper,2023.0,GK,185 cm,72 kg,Right,3
0-69,55,Jordy Peffer,11/4/1996,20,Youngster,Belgium,KV Mechelen,Attacker,2018.0,ST,183 cm,71 kg,Right,3
0-69,55,Mads Pedersen,9/1/1996,20,Youngster,Denmark,FC Nordsjælland,Defender,2018.0,LB,178 cm,74 kg,Left,3
0-69,55,Albin Skoglund,2/1/1997,20,Youngster,Sweden,BK Häcken,Midfielder,2017.0,CAM,183 cm,74 kg,Right,2
0-69,55,Nikola Milosavljevic,4/24/1996,20,Youngster,Switzerland,FC Sion,Midfielder,2023.0,CM,179 cm,68 kg,Right,3
0-69,55,Mattias Kaït,6/29/1998,18,Youngster,Estonia,Fulham,Midfielder,2019.0,CAM,183 cm,75 kg,Right,3
0-69,55,Joshua Walker,12/28/1997,19,Youngster,England,Fulham,Attacker,2017.0,ST/LM,178 cm,65 kg,Left,3
0-69,55,Luke O'Reilly,5/27/1996,20,Youngster,England,Cardiff City,Goalkeeper,2017.0,GK,180 cm,83 kg,Right,3
0-69,55,Jacob Hanson,11/30/1997,19,Youngster,England,Bradford City,Defender,2019.0,RB/CB,184 cm,70 kg,Right,2
0-69,55,David Mitchell,4/4/1990,26,Normal,Scotland,Dundee FC,Goalkeeper,2017.0,GK,183 cm,83 kg,Right,3
0-69,55,James Ferry,4/20/1997,19,Youngster,England,Brentford,Midfielder,2017.0,CM,179 cm,67 kg,Right,3
0-69,55,Seityasen Singh,3/12/1992,25,Normal,India,Free Agents,Attacker,2023.0,RW/LW,178 cm,71 kg,Right,2
0-69,55,Jack Doyle,2/2/1997,20,Youngster,England,Blackburn Rovers,Defender,2019.0,LB/LM,178 cm,64 kg,Left,3
0-69,55,George Edmundson,8/15/1997,19,Youngster,England,Oldham Athletic,Defender,2017.0,CB,185 cm,75 kg,Right,3
0-69,55,Tobias Heintz,7/13/1998,18,Youngster,Norway,Sarpsborg 08 FF,Attacker,2023.0,ST/LM,175 cm,70 kg,Right,2
0-69,55,Isac Lidberg,9/8/1998,18,Youngster,Sweden,Hammarby IF,Attacker,2017.0,ST,185 cm,82 kg,Right,3
0-69,55,Dusan Jajic,7/4/1998,18,Youngster,Sweden,Hammarby IF,Midfielder,2017.0,CM,175 cm,70 kg,Right,3
0-69,55,Ivan Marković,6/15/1997,19,Youngster,Croatia,FC Thun,Midfielder,2023.0,LM,182 cm,75 kg,Left,3
0-69,55,Victor Van De Wiele,7/8/1996,20,Youngster,Belgium,KV Oostende,Midfielder,2017.0,CM,176 cm,68 kg,Right,3
0-69,55,Qasem Lajami,4/24/1996,20,Youngster,Saudi Arabia,Al Khaleej,Defender,2023.0,CB,178 cm,75 kg,Left,3
0-69,55,Frank Ross,2/18/1998,19,Youngster,Scotland,Aberdeen,Midfielder,2018.0,RM,172 cm,61 kg,Right,3
0-69,55,Erlend Segberg,4/12/1997,19,Youngster,Norway,IK Start,Midfielder,2018.0,CM,176 cm,65 kg,Right,3
0-69,55,Guillaume Fanucchi,5/21/1995,21,Youngster,France,AC Ajaccio,Midfielder,2023.0,RM,177 cm,75 kg,Right,3
0-69,55,Raphael Sallinger,12/8/1995,21,Youngster,Austria,Wolfsberger AC,Goalkeeper,2018.0,GK,196 cm,85 kg,Right,2
0-69,55,James Hooper,2/10/1997,20,Youngster,England,Carlisle United,Attacker,2023.0,ST,185 cm,83 kg,Left,2
0-69,55,Robert Kling,5/1/1997,19,Youngster,Norway,FK Haugesund,Midfielder,2017.0,CM,178 cm,64 kg,Right,3
0-69,55,Gustav Dahl,9/15/1996,20,Youngster,Denmark,Silkeborg IF,Defender,2018.0,LB,181 cm,71 kg,Left,2
0-69,55,Shaun Rowley,11/1/1996,20,Youngster,England,Shrewsbury,Goalkeeper,2017.0,GK,189 cm,87 kg,Left,2
0-69,55,Jonathan Lundberg,10/27/1997,19,Youngster,Sweden,Örebro SK,Attacker,2017.0,ST,185 cm,82 kg,Right,2
0-69,55,Stefan Zinni,7/6/1996,20,Youngster,Australia,WS Wanderers,Attacker,2017.0,LW,183 cm,71 kg,Left,3
0-69,55,Brayden Shaw,2/25/1997,20,Youngster,England,Accrington,Midfielder,2017.0,RM/LM,178 cm,64 kg,Right,3
0-69,55,Corbin Shires,12/31/1997,19,Youngster,England,Mansfield Town,Defender,2017.0,CB,198 cm,67 kg,Right,2
0-69,55,Kevin Garcia,8/21/1990,26,Normal,United States,Houston Dynamo,Defender,2023.0,CB/LB,183 cm,87 kg,Left,3
0-69,55,Yoon Soo Yong,12/10/1995,21,Youngster,Korea Republic,Djurgårdens IF,Midfielder,2017.0,CM/RM,183 cm,70 kg,Right,3
0-69,55,Jamie McCart,6/20/1997,19,Youngster,Scotland,Inverness CT,Defender,2023.0,CB,180 cm,75 kg,Right,3
0-69,55,Jamie Philpot,9/4/1996,20,Youngster,England,Millwall,Attacker,2018.0,ST,181 cm,75 kg,Right,3
0-69,55,Roberto Criscuolo,2/21/1997,20,Youngster,Italy,Sampdoria,Midfielder,2019.0,CM,177 cm,72 kg,Right,3
0-69,55,Henrik Castegren,3/28/1996,21,Youngster,Sweden,IFK Norrköping,Defender,2017.0,CB,183 cm,82 kg,Right,2
0-69,55,Braedyn Crowley,10/10/1996,20,Youngster,Australia,Melbourne City,Attacker,2018.0,ST,177 cm,77 kg,Right,3
0-69,55,Emil Ekblom,1/29/1994,23,Youngster,Norway,Stabæk Fotball,Attacker,2017.0,ST,180 cm,82 kg,Right,5
0-69,55,Aaron Simpson,3/7/1997,20,Youngster,England,Portsmouth,Defender,2017.0,RB,177 cm,78 kg,Right,2
0-69,55,Oliver Muldoon,9/3/1994,22,Youngster,England,Gillingham,Defender,2017.0,CM/RB,183 cm,76 kg,Left,3
0-69,55,Ernesto Starita,3/3/1996,21,Youngster,Italy,Vercelli,Attacker,2023.0,LW/ST,174 cm,70 kg,Left,2
0-69,55,Federico Urraburo,4/5/1991,25,Normal,Argentina,San Juan,Goalkeeper,2023.0,GK,189 cm,91 kg,Right,2
0-69,55,Nicolás Giménez,1/16/1996,21,Youngster,Argentina,CA Talleres,Midfielder,2020.0,CM,179 cm,73 kg,Right,3
0-69,55,Jack McMillan,12/18/1997,19,Youngster,Scotland,Motherwell,Defender,2019.0,LB,183 cm,77 kg,Right,3
0-69,55,David Salazar,4/19/1999,17,Youngster,Chile,CD O'Higgins,Attacker,2023.0,LW,180 cm,70 kg,Left,4
0-69,55,George Timotheou,7/29/1997,19,Youngster,Australia,Sydney FC,Defender,2018.0,CB,185 cm,78 kg,Left,3
0-69,55,Aladin Ayoub,8/3/1996,20,Youngster,Tunisia,Brisigonza,Goalkeeper,2023.0,GK,193 cm,90 kg,Right,2
0-69,55,Sam Lidington,3/4/1997,20,Youngster,Scotland,Kilmarnock,Defender,2019.0,LB/LM,170 cm,63 kg,Left,3
0-69,55,Dean Hawkshaw,4/24/1997,19,Youngster,Scotland,Kilmarnock,Midfielder,2018.0,CDM,166 cm,60 kg,Right,3
0-69,55,Jonathan Malmberg,2/2/1994,23,Youngster,Sweden,GIF Sundsvall,Goalkeeper,2023.0,GK,186 cm,80 kg,Right,2
0-69,55,Liam Mandeville,2/17/1997,20,Youngster,England,Doncaster,Attacker,2019.0,ST,180 cm,77 kg,Right,2
0-69,55,Jonathan Maddison,9/4/1994,22,Youngster,England,Yeovil Town,Goalkeeper,2017.0,GK,186 cm,74 kg,Right,2
0-69,55,Rory Feely,1/3/1997,20,Youngster,Republic of Ireland,St. Pats,Defender,2017.0,CB,191 cm,76 kg,Right,2
0-69,55,Nicolás Araya,6/6/1999,17,Youngster,Chile,CD Antofagasta,Goalkeeper,2023.0,GK,174 cm,69 kg,Right,2
0-69,55,James Mulhall,1/29/1996,21,Youngster,Republic of Ireland,Longford Town,Defender,2023.0,RB,174 cm,68 kg,Right,3
0-69,55,Rhys Gorman,1/24/1994,23,Youngster,Republic of Ireland,Longford Town,Defender,2017.0,CB,179 cm,72 kg,Right,3
0-69,55,Diego Fernández,3/8/1998,19,Youngster,Chile,Depor. Iquique,Midfielder,2023.0,CM,175 cm,70 kg,Right,3
0-69,55,Ilnur Safeev,2/14/1996,21,Youngster,Russia,Rubin Kazan,Defender,2017.0,LB/CB,186 cm,70 kg,Right,4
0-69,55,Dale Gorman,6/28/1996,20,Youngster,Northern Ireland,Stevenage,Midfielder,2019.0,CM,180 cm,70 kg,Right,3
0-69,55,Jordan Thurtell,7/8/1996,20,Youngster,Australia,Perth Glory,Goalkeeper,2017.0,GK,183 cm,79 kg,Left,2
0-69,55,Steve Rouiller,7/10/1990,26,Normal,Switzerland,FC Lugano,Defender,2017.0,CB,175 cm,70 kg,Right,2
0-69,55,Dilan Nicoletti,1/18/1994,23,Youngster,Mexico,Tijuana,Goalkeeper,2023.0,GK,192 cm,88 kg,Right,1
0-69,55,Jeppe Brinch,5/8/1995,21,Youngster,Denmark,Esbjerg fB,Defender,2019.0,CB,182 cm,67 kg,Right,3
0-69,55,Flo Bojaj,4/13/1996,20,Youngster,Albania,Newport County,Attacker,2017.0,ST,183 cm,82 kg,Right,3
0-69,55,Noor Husin,3/3/1997,20,Youngster,Afghanistan,Accrington,Midfielder,2023.0,CM,177 cm,65 kg,Right,2
0-69,55,Jens Jakob Thomasen,6/25/1996,20,Youngster,Denmark,Odense BK,Midfielder,2018.0,CM,178 cm,65 kg,Right,3
0-69,55,Alex Samuel,9/20/1995,21,Youngster,Wales,Newport County,Attacker,2017.0,ST,183 cm,70 kg,Right,3
0-69,55,Pascal Albrecht,4/24/1995,21,Youngster,Switzerland,FC St. Gallen,Goalkeeper,2017.0,GK,184 cm,78 kg,Right,2
0-69,55,Shim Je Hyeok,3/5/1995,22,Youngster,Korea Republic,Seongnam FC,Midfielder,2023.0,ST,178 cm,76 kg,Left,3
0-69,55,Juan Pablo Meza,8/13/1993,23,Youngster,Mexico,Tijuana,Midfielder,2018.0,RM,177 cm,68 kg,Right,2
0-69,55,Sam Verdon,9/3/1995,21,Youngster,Republic of Ireland,St. Pats,Midfielder,2017.0,CM/CAM,185 cm,72 kg,Right,3
0-69,55,Carl Ekstrand Hamrén,6/17/1996,20,Youngster,Sweden,Örebro SK,Defender,2018.0,CB,195 cm,79 kg,Right,2
0-69,55,Alex Byrne,3/8/1995,22,Youngster,Republic of Ireland,Galway United,Midfielder,2017.0,CDM,177 cm,71 kg,Right,3
0-69,55,Alfie Pavey,10/2/1995,21,Youngster,England,Millwall,Attacker,2023.0,ST,180 cm,75 kg,Right,2
0-69,55,Anibal González,4/8/1995,21,Youngster,Chile,CD O'Higgins,Attacker,2023.0,ST,175 cm,70 kg,Right,3
0-69,55,Albion Avdijaj,1/12/1994,23,Youngster,Albania,FC Vaduz,Attacker,2017.0,ST/RM,190 cm,80 kg,Right,3
0-69,55,Viljar Myhra,7/21/1996,20,Youngster,Norway,Odds BK,Goalkeeper,2018.0,GK,195 cm,100 kg,Right,3
0-69,55,Maxim Rudakov,1/22/1996,21,Youngster,Russia,Zenit,Goalkeeper,2023.0,GK,188 cm,76 kg,Right,2
0-69,55,Ahmed Hassan Al Shehri,9/3/1993,23,Youngster,Saudi Arabia,Al-Ettifaq,Attacker,2023.0,ST/CDM,173 cm,71 kg,Right,3
0-69,55,Dylan Hayes,4/9/1995,21,Youngster,Republic of Ireland,Bohemian FC,Defender,2017.0,RB,168 cm,72 kg,Right,2
0-69,55,Joel Coleman,9/26/1995,21,Youngster,England,Huddersfield,Goalkeeper,2019.0,GK,190 cm,82 kg,Right,3
0-69,55,Stuart Moore,9/8/1994,22,Youngster,England,Luton Town,Goalkeeper,2017.0,GK,187 cm,72 kg,Right,2
0-69,55,Silas Songani,6/28/1989,27,Normal,Zimbabwe,SønderjyskE,Midfielder,2019.0,RM/ST,170 cm,64 kg,Right,3
0-69,55,Idrissa Camara,10/30/1992,24,Youngster,Guinea Bissau,Avellino,Attacker,2017.0,ST,177 cm,74 kg,Right,2
0-69,55,Caleb Calvert,10/22/1996,20,Youngster,United States,Colorado Rapids,Attacker,2022.0,ST,188 cm,73 kg,Right,2
0-69,55,Humberto Bustamante,5/19/1990,26,Normal,Chile,Depor. Iquique,Defender,2018.0,CB,190 cm,86 kg,Right,3
